b_0,s_0,k_1_0,q_1_0,k_2_0,xi_0,logL/N,b,s,k_1,q_1,k_2,xi,N
2.9877322345541266,2.18495362027667,4.935512395130617,18.150300021542716,5.887132545824361,0.0028057988175540904,-11.363955775895244,1.7470458261686854,1.758298436679625,4.975765386055326,18.150300021542716,5.887132545824361,0.002336130984017983,222183.0
2.5213608489331465,1.7970145501837718,3.6743958627847126,18.037267254480366,4.950065176935231,0.000687215643095167,-11.371533340661827,1.5831868732673793,1.6140123618561242,4.491832269906185,18.037267254480366,4.950065176935231,0.001822870580869854,222183.0
2.6000843777328972,1.5009566563495438,1.1616861085513315,8.604586305738732,3.338725648560389,0.0012025552566162425,-11.380192596552213,1.3664179551897329,1.501624044004592,4.1207778400309,8.604585559906495,3.3387246687782275,0.0012907009194508513,222183.0
2.149815059056116,2.4142416758525282,4.9079044168814185,7.3865122949750655,6.142818187590995,0.0016674277718246857,-11.358001296896614,1.5620722841026111,1.9470121766477253,4.954992998326661,7.482183328985115,6.094982672311849,0.002049837827000468,222183.0
2.7962270306787653,2.032151140076899,3.40372949708642,15.156055552212957,3.0931501569867303,0.0029522184889125354,-11.368162853408215,1.5633636634090384,1.6673600103688004,4.49900677064769,15.156055552212957,3.0931501569867303,0.0018094297321267013,222183.0
2.1688991361971532,2.1621598311361105,3.1025139621161157,17.75144755227188,5.109104165039072,0.0012271908615186647,-11.357230266113094,1.2052672983566826,2.03670311656725,4.430890753879272,17.75144755227188,5.109104165039072,0.001248411592515695,222183.0
2.0123804055619696,2.0866575647745083,4.113785588829286,7.616822404241949,6.176468984981958,0.000581069587419107,-11.362048201066964,1.5076313835867932,1.7942279574000932,4.555608848715326,8.847232652450373,5.944316106693749,0.0017772405373017246,222183.0
2.563773473421257,1.5620046465758652,1.7755167902788944,9.847783431126194,4.238047430330742,0.002739110302507522,-11.378853702378658,1.4018119097685466,1.5167633309819628,4.171284645224768,9.847783467956985,4.238047374590092,0.0013681090940797357,222183.0
2.2329685972447697,1.7914945568269278,1.2671964252911492,8.821319433398479,4.313218191433235,0.001973657637085547,-11.374009418848829,1.3170807686099633,1.5752988901983809,4.03987732416977,8.821319594950994,4.3132178857282675,0.001199089600937969,222183.0
1.952300581592499,1.8166687585602592,2.466410704747699,15.117959540659871,6.636517253700364,0.0007879178855280402,-11.371256190391158,1.3418567528541094,1.6141814242246868,4.09024682941326,15.117959540574503,6.63651725390206,0.001264707404636752,222183.0
1.8492237918504528,1.808538042265977,4.883116175766622,10.351935004729478,7.289609001333033,0.0010442240194719534,-11.357433736139935,1.4949060875225135,2.0954505825346925,5.0,10.351935004699222,7.28960900126166,0.002011615357347064,222183.0
2.919157600138959,2.2601576691392835,2.351658506243767,2.2269390002246006,4.1294405826786615,0.0005386752462825735,-11.362376290128504,1.0482212051514046,2.2685738198938976,3.7099109349476254,2.07858333911438,4.56222154811193,0.001812566165264665,222183.0
2.7663331168806806,2.0126553595862187,2.5388468157312083,6.079706984097878,7.627294039476901,0.0020537958356454723,-11.370972320635126,1.4726099754208173,1.637677259257436,4.341421850829007,5.3976306404437375,7.695500162296063,0.001690702085606598,222183.0
2.0269020050984476,2.4952083399242015,4.2618660374897335,13.41819101447809,4.3887518798596705,0.002116517421473204,-11.358122972543516,1.4449693343875947,1.9313592851821129,4.680152995695951,13.41819101447809,4.3887518798596705,0.0017359775426433782,222183.0
1.893774818422398,2.1593311929512167,4.580222072778292,17.117338639090736,5.608395607446447,0.0010604836659625196,-11.359140910804122,1.5250296414790918,1.8873512893906863,4.753407863609226,17.117338639090736,5.608395607446447,0.001897290717491931,222183.0
2.832074281973619,1.817409383044899,4.705745426741228,16.899710946476226,4.472876199036946,0.0009500805310840126,-11.370639273900302,1.7751837939252813,1.634419122916503,4.87549582538189,16.899710946476226,4.472876199036946,0.0022653291797758335,222183.0
1.4422970932153254,1.9402986015847383,2.5942801064917824,2.7506536620305058,6.785365022314846,0.0016446331673551633,-11.366476415840877,1.1970606570337432,1.696255386265814,3.928240403048959,12.315222820659514,4.686421058628454,0.0010036874942723174,222183.0
1.829117900434485,2.0075229112200357,3.737639326963239,7.848188157746368,6.348586080698665,0.0012076246183185667,-11.363223482841402,1.4195560770402411,1.7621391007787257,4.35871504642206,10.870305012181044,5.867794773914193,0.001542693624637262,222183.0
1.060249287937683,2.3895590749734312,2.0124796826317,8.45243777778689,6.415903495627432,0.0004500350897756366,-11.359236845246496,1.0246224112563833,1.8635869793432664,3.778936012083626,3.5138246304532275,4.396154899818752,0.001068016125636405,222183.0
2.5365139573282804,2.3447826797968316,4.744881264969623,7.567858627112481,5.597512490241554,0.0008017646675612384,-11.360413351934984,1.6313983956966496,1.8472115203627255,4.895160486278008,7.567858631486554,5.597512487907409,0.0021256219594233735,222183.0
1.8826094739937977,1.5307221271732558,2.3243439227722047,9.181010008743549,7.6706661315189555,0.0015408067336856847,-11.381197051371458,1.279890015671732,1.5099509512454092,4.15144474531203,5.301676438228428,7.893249567885142,0.0013241988782352052,222183.0
1.4442072687907543,1.8267849437835455,3.990011245932977,18.6479187618358,4.675579012965635,0.0009863752919487315,-11.358156620791485,1.241947446094942,2.1332963816237442,4.449875969827669,18.6479187618358,4.675579012965635,0.0014276916361833035,222183.0
1.4923369745862192,2.295889182432775,2.194796817651796,10.443258493359007,5.853121403889036,0.0028883891558354052,-11.362480367684421,1.176648681715395,1.785823398809287,3.99309187898171,9.428316285388592,6.032228809282568,0.0010289160488883317,222183.0
