start [rev],end [rev],duration [rev],comment
1653.129539,1653.135094,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
1653.558705,1656.023983,2.465278,Missing On-Ground reconstructed Attitude (OGA-3)
1731.878149,1731.975371,0.097222,Missing On-Ground reconstructed Attitude (OGA-3)
1770.012870,1770.497592,0.484722,Missing On-Ground reconstructed Attitude (OGA-3)
1773.710092,1773.836481,0.126389,Missing On-Ground reconstructed Attitude (OGA-3)
1776.939259,1777.173981,0.234722,Missing On-Ground reconstructed Attitude (OGA-3)
1788.114259,1788.172592,0.058333,Missing On-Ground reconstructed Attitude (OGA-3)
1789.948981,1789.954537,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
1790.579537,1790.585092,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
1790.626759,1790.632314,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
1790.673981,1790.679537,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
1790.721203,1790.726759,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
1790.768425,1790.773981,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
1790.815648,1790.821203,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
1790.862870,1790.868425,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
1790.910092,1790.915648,0.005556,Missing On-Ground reconstructed Attitude (OGA-3)
1811.569814,1812.467036,0.897222,Missing On-Ground reconstructed Attitude (OGA-3)
1819.033703,1819.062869,0.029167,Missing On-Ground reconstructed Attitude (OGA-3)
1820.618425,1820.654536,0.036111,Missing On-Ground reconstructed Attitude (OGA-3)
1820.690647,1823.855925,3.165278,Missing On-Ground reconstructed Attitude (OGA-3)
1828.061480,1828.196203,0.134722,Missing On-Ground reconstructed Attitude (OGA-3)
1828.407314,1828.944814,0.537500,Missing On-Ground reconstructed Attitude (OGA-3)
1829.078147,1829.118425,0.040278,Missing On-Ground reconstructed Attitude (OGA-3)
1849.126758,1849.150369,0.023611,Missing On-Ground reconstructed Attitude (OGA-3)
1907.712868,1910.518424,2.805556,Missing On-Ground reconstructed Attitude (OGA-3)
