start,end,"duration [rev]",description,instrument
3317.535070,3317.562848,0.027778,Malargue data loss,"AF/BP/RP, both FoVs"
3542.114234,3542.311456,0.197222,Station-keeping manoeuvre #21,"AF/BP/RP, both FoVs"
3603.251733,3605.226733,1.975000,AOCS anomaly,"AF/BP/RP, both FoVs"
4009.661450,4009.855894,0.194444,Station-keeping manoeuvre #22,"AF/BP/RP, both FoVs"
4074.210060,4076.062838,1.852778,Payload data handling unit anomaly,"AF/BP/RP, both FoVs"
4112.768393,4112.769320,0.000927,Decontamination 6,"AF, both FoVs"
4112.769320,4121.385986,8.616666,Decontamination 6,"AF, both FoVs"
4121.385990,4133.393590,12.007600,Decontamination 6,"AF/BP/RP, both FoVs"
4133.393590,4141.398660,8.005070,Decontamination 6,"AF1 only, both FoVs"
4182.015614,4182.029503,0.013889,Payload data handling unit update,"AF/BP/RP, both FoVs"
4263.518390,4263.718390,0.200000,Station-keeping manoeuvre #23,"AF/BP/RP, both FoVs"
4399.057277,4399.251722,0.194444,Station-keeping manoeuvre #24,"AF/BP/RP, both FoVs"
4477.440610,4477.737832,0.297222,Phased-array antenna anomaly,"AF/BP/RP, both FoVs"
4478.018387,4478.083665,0.065278,Phased-array antenna anomaly,"AF/BP/RP, both FoVs"
4545.371164,4545.383664,0.012500,Phased-array antenna anomaly,"AF/BP/RP, both FoVs"
4626.857274,4627.057274,0.200000,Station-keeping manoeuvre #25,"AF/BP/RP, both FoVs"
4729.669773,4729.683662,0.013889,Malargue data loss,"AF/BP/RP, both FoVs"
4795.372550,4795.805883,0.433333,Scanning-law change,"AF/BP/RP, both FoVs"
4845.776715,4845.819771,0.043056,Micro-meteoroid,"AF/BP/RP, both FoVs"
4873.516993,4873.558660,0.041667,Micro-meteoroid,"AF/BP/RP, both FoVs"
4965.730880,4965.753103,0.022222,Unknown,"AF/BP/RP, both FoVs"
5056.171157,5056.215601,0.044444,Micro-meteoroid,"AF/BP/RP, both FoVs"
5078.630879,5078.835046,0.204167,Station-keeping manoeuvre #26 + STR misconfiguration,"AF/BP/RP, both FoVs"
5203.610044,5203.651711,0.041667,Micro-meteoroid,"AF/BP/RP, both FoVs"
