start,end,duration [rev],description
3477.4080,3477.4092,0.0012,Micro-meteoroid hit
3480.7529,3480.7541,0.0012,Micro-meteoroid hit
3497.8515,3497.8529,0.0014,Micro-meteoroid hit
3508.9830,3508.9846,0.0016,Micro-meteoroid hit
3532.6219,3532.6235,0.0016,Micro-meteoroid hit
3541.5957,3541.6041,0.0083,Micro-meteoroid hit
3603.2500,3605.2270,1.9770,AOCS anomaly
3603.2504,3603.2522,0.0019,Micro-meteoroid hit
3611.7837,3611.7856,0.0019,Micro-meteoroid hit
3623.1251,3623.1321,0.0069,Micro-meteoroid hit
3646.8000,3650.0000,3.2000,Moon eclipse
3650.4272,3650.4288,0.0016,Micro-meteoroid hit
3663.7000,3667.0000,3.3000,Moon eclipse
3668.7846,3668.7860,0.0014,Micro-meteoroid hit
3671.8386,3671.8402,0.0016,Micro-meteoroid hit
3708.7916,3708.7927,0.0012,Micro-meteoroid hit
3744.4386,3744.4399,0.0014,Micro-meteoroid hit
3821.3680,3821.3770,0.0090,Gap tuning based on AGIS residuals
4074.2100,4076.0630,1.8530,Payload data handling unit anomaly
4112.4630,4180.0000,67.5370,Decontamination 6
4271.7530,4275.2000,3.4470,Phased array antenna anomaly
4477.4410,4481.0000,3.5590,Phased array antenna anomaly
4512.5020,4515.0000,2.4980,Phased array antenna anomaly
4545.1440,4548.0000,2.8560,Phased array antenna anomaly
4876.9780,4877.3970,0.4190,Gap tuning based on AGIS residuals
4999.7020,4999.8410,0.1390,Gap tuning based on AGIS residuals
5017.7820,5018.6170,0.8350,Gap tuning based on AGIS residuals
5078.5466,5080.6000,2.0534,Station-keeping manoeuvre #26 + STR misconfiguration
