RA,DEC,APOGEE,FIELD,LOCATION_ID,RADIUS,cohort,Hmin,Hmax,JK0min,JK0max,fracSampling,fracAK,GLON,GLAT
20.5706,74.7477,2,125+12,5058,1.49,short_red,7.0,12.2,0.8,999.0,0.7476,0.9241,125.00000258225917,11.99994002741664
20.5706,74.7477,2,125+12,5058,1.49,medium_blue,12.2,12.8,0.5,0.8,0.0,1.0,125.00000258225917,11.99994002741664
20.5706,74.7477,2,125+12,5058,1.49,medium_red,12.2,12.8,0.8,999.0,0.0,1.0,125.00000258225917,11.99994002741664
20.5706,74.7477,2,125+12,5058,1.49,long_blue,12.8,13.3,0.5,0.8,0.0,1.0,125.00000258225917,11.99994002741664
20.5706,74.7477,2,125+12,5058,1.49,long_red,12.8,13.3,0.8,999.0,0.0,1.0,125.00000258225917,11.99994002741664
16.0625,50.8202,2,125-12,5048,1.49,short_blue,7.0,12.2,0.5,0.8,0.0827,0.919,125.00003309019864,-12.000092891141968
16.0625,50.8202,2,125-12,5048,1.49,short_red,7.0,12.2,0.8,999.0,0.75,0.919,125.00003309019864,-12.000092891141968
16.0625,50.8202,2,125-12,5048,1.49,medium_blue,12.2,12.8,0.5,0.8,0.0,1.0,125.00003309019864,-12.000092891141968
16.0625,50.8202,2,125-12,5048,1.49,medium_red,12.2,12.8,0.8,999.0,0.0,1.0,125.00003309019864,-12.000092891141968
16.0625,50.8202,2,125-12,5048,1.49,long_blue,12.8,13.3,0.5,0.8,0.0,1.0,125.00003309019864,-12.000092891141968
16.0625,50.8202,2,125-12,5048,1.49,long_red,12.8,13.3,0.8,999.0,0.0,1.0,125.00003309019864,-12.000092891141968
22.79775,62.518611,1,128+00,4318,1.49,short,7.0,12.2,0.5,999.0,0.0438,0.84,127.49992028123373,-3.357301047761828e-05
22.79775,62.518611,1,128+00,4318,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,127.49992028123373,-3.357301047761828e-05
22.79775,62.518611,1,128+00,4318,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,127.49992028123373,-3.357301047761828e-05
24.335292,66.463722,1,128+04,4425,1.49,short,7.0,12.2,0.5,999.0,0.0455,0.8721,127.49993279007164,3.9999484439820727
24.335292,66.463722,1,128+04,4425,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,127.49993279007164,3.9999484439820727
24.335292,66.463722,1,128+04,4425,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,127.49993279007164,3.9999484439820727
21.620708,58.560556,1,128-04,4426,1.49,short,7.0,12.2,0.5,999.0,0.0517,0.8501,127.4999231615073,-4.000024000419441
21.620708,58.560556,1,128-04,4426,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,127.4999231615073,-4.000024000419441
21.620708,58.560556,1,128-04,4426,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,127.4999231615073,-4.000024000419441
186.4126,56.773,1,130+60,4501,1.49,short,7.0,12.2,0.5,999.0,0.6545,0.9479,130.0001616389708,59.99995680423563
186.4126,56.773,1,130+60,4501,1.49,medium,12.2,12.8,0.5,999.0,0.0815,0.9463,130.0001616389708,59.99995680423563
186.4126,56.773,1,130+60,4501,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,130.0001616389708,59.99995680423563
30.1284,61.7848,2,131+00,5060,1.49,short_blue,7.0,12.2,0.5,0.8,0.019,0.8295,130.9999892672839,-0.00011867378085255583
30.1284,61.7848,2,131+00,5060,1.49,short_red,7.0,12.2,0.8,999.0,0.2177,0.8295,130.9999892672839,-0.00011867378085255583
30.1284,61.7848,2,131+00,5060,1.49,medium_blue,12.2,12.8,0.5,0.8,0.0,1.0,130.9999892672839,-0.00011867378085255583
30.1284,61.7848,2,131+00,5060,1.49,medium_red,12.2,12.8,0.8,999.0,0.0,1.0,130.9999892672839,-0.00011867378085255583
30.1284,61.7848,2,131+00,5060,1.49,long_blue,12.8,13.3,0.5,0.8,0.0,1.0,130.9999892672839,-0.00011867378085255583
30.1284,61.7848,2,131+00,5060,1.49,long_red,12.8,13.3,0.8,999.0,0.0,1.0,130.9999892672839,-0.00011867378085255583
33.261625,65.545194,1,131+04,4416,1.49,short,7.0,12.2,0.5,999.0,0.0464,0.8527,131.2499314836504,3.999956592930022
33.261625,65.545194,1,131+04,4416,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,131.2499314836504,3.999956592930022
33.261625,65.545194,1,131+04,4416,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,131.2499314836504,3.999956592930022
28.59575,57.851556,1,131-04,4417,1.49,short,7.0,12.2,0.5,999.0,0.0523,0.8676,131.249929525302,-4.000047779226482
28.59575,57.851556,1,131-04,4417,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,131.249929525302,-4.000047779226482
28.59575,57.851556,1,131-04,4417,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,131.249929525302,-4.000047779226482
37.979917,60.495722,1,135+00,4271,1.49,short,7.0,12.2,0.5,999.0,0.0503,0.8373,134.99992553825425,-6.841246709638002e-05
37.979917,60.495722,1,135+00,4271,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,134.99992553825425,-6.841246709638002e-05
37.979917,60.495722,1,135+00,4271,1.49,long,12.8,13.8,0.5,999.0,0.0,1.0,134.99992553825425,-6.841246709638002e-05
43.541833,65.953444,1,135+06,4310,1.49,short,7.0,12.2,0.5,999.0,0.061,0.8936,134.9999476650779,5.9999485072773
43.541833,65.953444,1,135+06,4310,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,134.9999476650779,5.9999485072773
43.541833,65.953444,1,135+06,4310,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,134.9999476650779,5.9999485072773
52.01725,71.103472,1,135+12,4311,1.49,short,7.0,12.2,0.5,999.0,0.1138,0.9221,134.9999433440655,11.99995118273662
52.01725,71.103472,1,135+12,4311,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,134.9999433440655,11.99995118273662
52.01725,71.103472,1,135+12,4311,1.49,long,12.8,13.8,0.5,999.0,0.0,1.0,134.9999433440655,11.99995118273662
120.85825,79.02506,1,135+30,4529,1.49,short,7.0,12.2,0.5,999.0,0.3929,0.9322,134.99998684688913,29.99994347304344
120.85825,79.02506,1,135+30,4529,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,134.99998684688913,29.99994347304344
120.85825,79.02506,1,135+30,4529,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,134.99998684688913,29.99994347304344
34.044125,54.873917,1,135-06,4309,1.49,short,7.0,12.2,0.5,999.0,0.0719,0.876,134.99991671972447,-6.0000674050656215
34.044125,54.873917,1,135-06,4309,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,134.99991671972447,-6.0000674050656215
34.044125,54.873917,1,135-06,4309,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,134.99991671972447,-6.0000674050656215
31.081333,49.15625,1,135-12,4308,1.49,short,7.0,12.2,0.5,999.0,0.1268,0.9137,134.99991721470664,-12.00006105951752
31.081333,49.15625,1,135-12,4308,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,134.99991721470664,-12.00006105951752
31.081333,49.15625,1,135-12,4308,1.49,long,12.8,13.8,0.5,999.0,0.0,1.0,134.99991721470664,-12.00006105951752
21.75421,17.03639,1,135-45,4477,1.49,short,7.0,12.2,0.5,999.0,0.5207,0.9394,134.99978198754914,-45.00005276014771
21.75421,17.03639,1,135-45,4477,1.49,medium,12.2,12.8,0.5,999.0,0.0847,0.9608,134.99978198754914,-45.00005276014771
21.75421,17.03639,1,135-45,4477,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,134.99978198754914,-45.00005276014771
45.1388,58.7839,2,139+00,5061,1.49,short_blue,7.0,12.2,0.5,0.8,0.0282,0.8262,138.9999995782406,-8.941272137890594e-05
45.1388,58.7839,2,139+00,5061,1.49,short_red,7.0,12.2,0.8,999.0,0.2919,0.8262,138.9999995782406,-8.941272137890594e-05
45.1388,58.7839,2,139+00,5061,1.49,medium_blue,12.2,12.8,0.5,0.8,0.0,1.0,138.9999995782406,-8.941272137890594e-05
45.1388,58.7839,2,139+00,5061,1.49,medium_red,12.2,12.8,0.8,999.0,0.0,1.0,138.9999995782406,-8.941272137890594e-05
45.1388,58.7839,2,139+00,5061,1.49,long_blue,12.8,13.3,0.5,0.8,0.0,1.0,138.9999995782406,-8.941272137890594e-05
45.1388,58.7839,2,139+00,5061,1.49,long_red,12.8,13.3,0.8,999.0,0.0,1.0,138.9999995782406,-8.941272137890594e-05
48.76488,62.37581,1,139+04,4551,1.49,short,7.0,12.2,0.5,999.0,0.0754,0.5681,138.74993859990863,3.999947923702547
48.76488,62.37581,1,139+04,4551,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,138.74993859990863,3.999947923702547
48.76488,62.37581,1,139+04,4551,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,138.74993859990863,3.999947923702547
41.41137,55.32497,1,139-04,4552,1.49,short,7.0,12.2,0.5,999.0,0.0581,0.8864,138.7499211138357,-4.000069714049374
41.41137,55.32497,1,139-04,4552,1.49,medium,12.2,12.8,0.5,999.0,0.0,1.0,138.7499211138357,-4.000069714049374
41.41137,55.32497,1,139-04,4552,1.49,long,12.8,13.3,0.5,999.0,0.0,1.0,138.7499211138357,-4.000069714049374
53.4661,63.3537,2,140+06,5101,1.49,short_blue,7.0,12.2,0.5,0.8,0.0526,0.8891,139.9999790733971,5.999903996574319
53.4661,63.3537,2,140+06,5101,1.49,short_red,7.0,12.2,0.8,999.0,0.5318,0.8891,139.9999790733971,5.999903996574319
53.4661,63.3537,2,140+06,5101,1.49,medium_blue,12.2,12.8,0.5,0.8,0.0,1.0,139.9999790733971,5.999903996574319
53.4661,63.3537,2,140+06,5101,1.49,medium_red,12.2,12.8,0.8,999.0,0.0,1.0,139.9999790733971,5.999903996574319
53.4661,63.3537,2,140+06,5101,1.49,long_blue,12.8,13.3,0.5,0.8,0.0,1.0,139.9999790733971,5.999903996574319
53.4661,63.3537,2,140+06,5101,1.49,long_red,12.8,13.3,0.8,999.0,0.0,1.0,139.9999790733971,5.999903996574319
62.8083,67.9722,2,140+12,5057,1.49,short_blue,7.0,12.2,0.5,0.8,0.2056,0.9122,140.0000277333691,11.99989053191756
62.8083,67.9722,2,140+12,5057,1.49,short_red,7.0,12.2,0.8,999.0,0.6667,0.9122,140.0000277333691,11.99989053191756
62.8083,67.9722,2,140+12,5057,1.49,medium_blue,12.2,12.8,0.5,0.8,0.0,1.0,140.0000277333691,11.99989053191756
62.8083,67.9722,2,140+12,5057,1.49,medium_red,12.2,12.8,0.8,999.0,0.0,1.0,140.0000277333691,11.99989053191756
62.8083,67.9722,2,140+12,5057,1.49,long_blue,12.8,13.3,0.5,0.8,0.0,1.0,140.0000277333691,11.99989053191756
62.8083,67.9722,2,140+12,5057,1.49,long_red,12.8,13.3,0.8,999.0,0.0,1.0,140.0000277333691,11.99989053191756
